contrast,backbone,dataset,axis,metric,n,seeds,effect_mean,effect_sd,positive_seed_count,effect_min,effect_max
delta_frozen,CBraMod,faced,channel_patch,balanced_accuracy,3,"42,1024,3407",0.01328502,0.00609208,3,0.00845411,0.02012882
delta_frozen,CBraMod,faced,channel_patch,macro_f1,3,"42,1024,3407",0.01181234,0.00611382,3,0.00826475,0.01887194
delta_frozen,CBraMod,isruc,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.00314806,0.00392224,0,-0.00758973,-0.00016064
delta_frozen,CBraMod,isruc,channel_patch,macro_f1,3,"42,1024,3407",-0.00319835,0.00489339,1,-0.00872648,0.00057818
delta_frozen,CBraMod,physionet_mi,channel_patch,balanced_accuracy,3,"42,1024,3407",0.00306622,0.01244350,2,-0.00892361,0.01591851
delta_frozen,CBraMod,physionet_mi,channel_patch,macro_f1,3,"42,1024,3407",0.00357646,0.01267875,2,-0.00897760,0.01637632
delta_frozen,CBraMod,seedv,channel,balanced_accuracy,3,"42,1024,3407",-0.00685729,0.00357482,0,-0.01067657,-0.00359148
delta_frozen,CBraMod,seedv,channel,macro_f1,3,"42,1024,3407",-0.00740189,0.00420076,0,-0.01192121,-0.00361639
delta_frozen,CBraMod,tuev,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.01082035,0.05105580,1,-0.05605020,0.04454195
delta_frozen,CBraMod,tuev,channel_patch,macro_f1,3,"42,1024,3407",-0.00933271,0.04057114,1,-0.03641915,0.03731279
delta_frozen,LaBraM,PhysioNet-MI,channel_patch,balanced_accuracy,3,"42,1024,3407",0.01387576,0.00572714,3,0.00929817,0.02029788
delta_frozen,LaBraM,PhysioNet-MI,channel_patch,macro_f1,3,"42,1024,3407",0.00537437,0.00847650,2,-0.00310229,0.01385071
delta_frozen,LaBraM,TUEV,channel_patch,balanced_accuracy,3,"42,1024,3407",0.02582275,0.01824372,3,0.01485390,0.04688269
delta_frozen,LaBraM,TUEV,channel_patch,macro_f1,3,"42,1024,3407",0.01929536,0.02596278,2,-0.00350329,0.04755387
delta_full,CBraMod,faced,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.00644122,0.00825364,0,-0.01596887,-0.00147611
delta_full,CBraMod,faced,channel_patch,macro_f1,3,"42,1024,3407",-0.00727887,0.00914756,0,-0.01757087,-0.00007525
delta_full,CBraMod,isruc,channel_patch,balanced_accuracy,3,"42,1024,3407",0.00189466,0.00639020,2,-0.00434800,0.00842283
delta_full,CBraMod,isruc,channel_patch,macro_f1,3,"42,1024,3407",0.00019853,0.01170294,2,-0.01209675,0.01120193
delta_full,CBraMod,physionet_mi,channel_patch,balanced_accuracy,3,"42,1024,3407",0.00186454,0.00505624,2,-0.00276663,0.00725905
delta_full,CBraMod,physionet_mi,channel_patch,macro_f1,3,"42,1024,3407",0.00131552,0.00498062,2,-0.00335814,0.00655481
delta_full,CBraMod,seedv,channel,balanced_accuracy,3,"42,1024,3407",0.00769724,0.00681561,3,0.00229253,0.01535382
delta_full,CBraMod,seedv,channel,macro_f1,3,"42,1024,3407",0.00853379,0.00678912,3,0.00178929,0.01536667
delta_full,CBraMod,tuev,channel_patch,balanced_accuracy,3,"42,1024,3407",0.01274923,0.03702712,2,-0.01936334,0.05325127
delta_full,CBraMod,tuev,channel_patch,macro_f1,3,"42,1024,3407",0.02491957,0.08581774,2,-0.07414019,0.07669818
delta_full,LaBraM,PhysioNet-MI,channel_patch,balanced_accuracy,3,"42,1024,3407",0.01594564,0.00739186,3,0.00793255,0.02249823
delta_full,LaBraM,PhysioNet-MI,channel_patch,macro_f1,3,"42,1024,3407",0.01644614,0.00640407,3,0.00987802,0.02267248
delta_full,LaBraM,TUEV,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.00286101,0.02388550,1,-0.01819237,0.02465987
delta_full,LaBraM,TUEV,channel_patch,macro_f1,3,"42,1024,3407",-0.04818601,0.05437897,1,-0.08995153,0.01330221
