backbone,dataset,axis,seed,native_run_id,axisblind_run_id,parameter_match_pct,pair_status,analysis_scope,pair_audit_notes,metric,native_value,axisblind_value,effect_native_minus_axisblind
CBraMod,physionet_mi,channel_patch,42,physionet_mi_cbramod_frozen_channel_patch_r64_s42_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_axisblind_s42_lr2e-4_b64_e40,0.0008231801108612351,VALID,supporting_boundary,all focused pair checks passed,balanced_accuracy,0.55632848,0.53708178,0.01924670
CBraMod,physionet_mi,channel_patch,42,physionet_mi_cbramod_frozen_channel_patch_r64_s42_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_axisblind_s42_lr2e-4_b64_e40,0.0008231801108612351,VALID,supporting_boundary,all focused pair checks passed,macro_f1,0.55893736,0.53693142,0.02200594
CBraMod,physionet_mi,channel_patch,1024,physionet_mi_cbramod_frozen_channel_patch_s1024_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_axisblind_s1024_r148_lr2e-4_b64_e40,0.09235886583069934,VALID,supporting_boundary,all focused pair checks passed,balanced_accuracy,0.54472803,0.53694776,0.00778026
CBraMod,physionet_mi,channel_patch,1024,physionet_mi_cbramod_frozen_channel_patch_s1024_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_axisblind_s1024_r148_lr2e-4_b64_e40,0.09235886583069934,VALID,supporting_boundary,all focused pair checks passed,macro_f1,0.54740453,0.54052984,0.00687468
CBraMod,physionet_mi,channel_patch,3407,physionet_mi_cbramod_frozen_channel_patch_s3407_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_axisblind_s3407_r148_lr2e-4_b64_e40,0.09235886583069934,VALID,supporting_boundary,all focused pair checks passed,balanced_accuracy,0.53857876,0.54409616,-0.00551740
CBraMod,physionet_mi,channel_patch,3407,physionet_mi_cbramod_frozen_channel_patch_s3407_r32_lr2e-4_b64_e40,physionet_mi_cbramod_frozen_axisblind_s3407_r148_lr2e-4_b64_e40,0.09235886583069934,VALID,supporting_boundary,all focused pair checks passed,macro_f1,0.54080474,0.54966474,-0.00886000
CBraMod,seedv,channel,1024,seedv_evalmode_frozen_channel_s1024_lr1e-5_20260804,seedv_evalmode_frozen_axis_blind_s1024_20260804,0.2972208314098052,VALID,boundary,all focused pair checks passed,balanced_accuracy,0.29114710,0.29714070,-0.00599361
CBraMod,seedv,channel,1024,seedv_evalmode_frozen_channel_s1024_lr1e-5_20260804,seedv_evalmode_frozen_axis_blind_s1024_20260804,0.2972208314098052,VALID,boundary,all focused pair checks passed,macro_f1,0.29075242,0.29712342,-0.00637100
CBraMod,seedv,channel,3407,seedv_evalmode_frozen_channel_s3407_lr1e-5_20260804,seedv_evalmode_frozen_axis_blind_s3407_requeue_20260805,0.2972208314098052,VALID,boundary,all focused pair checks passed,balanced_accuracy,0.29613984,0.30977179,-0.01363195
CBraMod,seedv,channel,3407,seedv_evalmode_frozen_channel_s3407_lr1e-5_20260804,seedv_evalmode_frozen_axis_blind_s3407_requeue_20260805,0.2972208314098052,VALID,boundary,all focused pair checks passed,macro_f1,0.28097478,0.31077615,-0.02980137
CBraMod,seedv,channel,42,seedv_evalmode_frozen_channel_s42_lr1e-5_20260804,seedv_evalmode_frozen_axis_blind_s42_20260804,0.2972208314098052,VALID,boundary,all focused pair checks passed,balanced_accuracy,0.28819700,0.29479974,-0.00660274
CBraMod,seedv,channel,42,seedv_evalmode_frozen_channel_s42_lr1e-5_20260804,seedv_evalmode_frozen_axis_blind_s42_20260804,0.2972208314098052,VALID,boundary,all focused pair checks passed,macro_f1,0.28532104,0.29005141,-0.00473037
CBraMod,tuev,channel_patch,1024,tuev_cbramod_frozen_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_axisblind_s1024_r148_lr1e-4_b8_e20,0.0020845689323594277,VALID,primary,all focused pair checks passed,balanced_accuracy,0.48049487,0.46312385,0.01737103
CBraMod,tuev,channel_patch,1024,tuev_cbramod_frozen_channel_patch_s1024_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_axisblind_s1024_r148_lr1e-4_b8_e20,0.0020845689323594277,VALID,primary,all focused pair checks passed,macro_f1,0.49641299,0.48207996,0.01433303
CBraMod,tuev,channel_patch,3407,tuev_cbramod_frozen_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_axisblind_s3407_r148_lr1e-4_b8_e20,0.0020845689323594277,VALID,primary,all focused pair checks passed,balanced_accuracy,0.44131067,0.46240842,-0.02109775
CBraMod,tuev,channel_patch,3407,tuev_cbramod_frozen_channel_patch_s3407_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_axisblind_s3407_r148_lr1e-4_b8_e20,0.0020845689323594277,VALID,primary,all focused pair checks passed,macro_f1,0.45565671,0.47494760,-0.01929088
CBraMod,tuev,channel_patch,42,tuev_cbramod_frozen_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_axisblind_s42_r148_lr1e-4_b8_e20,0.0020845689323594277,VALID,primary,all focused pair checks passed,balanced_accuracy,0.44257556,0.44847644,-0.00590088
CBraMod,tuev,channel_patch,42,tuev_cbramod_frozen_channel_patch_s42_r64_lr1e-4_b8_e20,tuev_cbramod_frozen_axisblind_s42_r148_lr1e-4_b8_e20,0.0020845689323594277,VALID,primary,all focused pair checks passed,macro_f1,0.46381792,0.47191849,-0.00810057
LaBraM,TUEV,channel_patch,1024,tuev_labram_frozen_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_axis_blind_b213_s1024_b64_lr5e-4_e15_scale100,0.23389130933272184,VALID,primary,all focused pair checks passed,balanced_accuracy,0.38064026,0.42974893,-0.04910866
LaBraM,TUEV,channel_patch,1024,tuev_labram_frozen_channel_patch_lr5e-4_s1024_b64_e15_scale100,tuev_labram_axis_blind_b213_s1024_b64_lr5e-4_e15_scale100,0.23389130933272184,VALID,primary,all focused pair checks passed,macro_f1,0.34482654,0.43221249,-0.08738595
LaBraM,TUEV,channel_patch,3407,tuev_labram_frozen_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_axis_blind_b213_s3407_b64_lr5e-4_e15_scale100,0.23389130933272184,VALID,primary,all focused pair checks passed,balanced_accuracy,0.38151803,0.43082288,-0.04930485
LaBraM,TUEV,channel_patch,3407,tuev_labram_frozen_channel_patch_lr5e-4_s3407_b64_e15_scale100,tuev_labram_axis_blind_b213_s3407_b64_lr5e-4_e15_scale100,0.23389130933272184,VALID,primary,all focused pair checks passed,macro_f1,0.36216534,0.43250620,-0.07034085
LaBraM,TUEV,channel_patch,42,tuev_labram_frozen_channel_patch_lr5e-4_s42_b64_e15_scale100,tuev_labram_axis_blind_b213_s42_b64_lr5e-4_e15_scale100,0.23389130933272184,VALID,primary,all focused pair checks passed,balanced_accuracy,0.41266906,0.43165296,-0.01898390
LaBraM,TUEV,channel_patch,42,tuev_labram_frozen_channel_patch_lr5e-4_s42_b64_e15_scale100,tuev_labram_axis_blind_b213_s42_b64_lr5e-4_e15_scale100,0.23389130933272184,VALID,primary,all focused pair checks passed,macro_f1,0.39588369,0.43400754,-0.03812384
